321	321	6.338	2	6.338
322	322	6.57	6	6.57
323	323	4.367	3	4.367
324	324	8.668	2	8.668
325	325	7.835	2	7.835
326	326	5.528	3	5.528
327	327	7.525	2	7.525
328	328	8.01	2	8.01
329	329	6.236	11	6.236
330	330	4.799	10	4.799
331	331	7.062	11	7.062
332	332	7.456	11	7.456
333	333	5.058	3	5.058
334	334	7.22	1	7.22
335	335	7.964	11	7.964
336	336	6.46	6	6.46
337	337	7.878	2	7.878
338	338	5.251	3	5.251
339	339	8.13	2	8.13
340	340	8.33	2	8.33
341	341	7.948	10	7.948
342	342	4.418	3	4.418
343	343	7.305	10	7.305
344	344	7.44	9	7.44
345	345	7.288	10	7.288
346	346	5.48	1	5.48
347	347	5.248	10	5.248
348	348	7.19	4	7.19
349	349	7.44	1	7.44
350	350	3.775	3	3.775
351	351	8.523	10	8.523
352	352	6.60	4	6.60
353	353	6.875	11	6.875
354	354	8.12	2	8.12
355	355	3.861	3	3.861
356	356	6.886	11	6.886
357	357	5.708	3	5.708
358	358	5.312	3	5.312
359	359	7.14	5	7.14
360	360	8.72	1	8.72
361	361	8.58	2	8.58
362	362	7.48	7	7.48
363	363	8.894	10	8.894
364	364	5.041	3	5.041
365	365	8.88	9	8.88
366	366	5.89	8	5.89
367	367	5.858	10	5.858
368	368	6.90	2	6.90
369	369	7.52	5	7.52
370	370	5.39	6	5.39
371	371	7.03	2	7.03
372	372	5.78	1	5.78
373	373	6.408	11	6.408
374	374	6.604	11	6.604
375	375	4.992	3	4.992
376	376	7.56	7	7.56
377	377	6.097	2	6.097
378	378	9.74	7	9.74
379	379	6.515	10	6.515
380	380	8.58	3	8.58
381	381	7.032	11	7.032
382	382	6.114	11	6.114
383	383	8.999	10	8.999
384	384	7.406	2	7.406
385	385	8.58	2	8.58
386	386	4.352	2	4.352
387	387	5.553	3	5.553
388	388	8.00	5	8.00
389	389	5.085	3	5.085
390	390	6.16	4	6.16
391	391	5.747	3	5.747
392	392	7.82	2	7.82
393	393	7.46	3	7.46
394	394	5.37	4	5.37
395	395	2.902	10	2.902
396	396	6.89	4	6.89
397	397	6.137	11	6.137
398	398	8.09	5	8.09
399	399	6.83	6	6.83
400	400	5.442	11	5.442
401	401	8.123	2	8.123
402	402	7.05	3	7.05
403	403	10.323	2	10.323
